From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Terrestrial,Sand_And_Gravel_ex,44120,2019,England,0,4,0,1,nan,3-4
Terrestrial,Sand_ex,17648,2019,England,0,3,0,0,nan,nan
Terrestrial,Gravel_ex,26472,2019,England,0,4,0,0,nan,nan


Marine,Marine_Dredged,11970,2019,England,1,5,0,1,nan,5-6
Marine,Sand_md,8379,2019,England,1,5,0,0,nan,nan
Marine,Gravel_md,3591,2019,England,1,6,0,0,nan,nan


Terrestrial,Crushed_Rock_ex,92239,2019,England,0,2,0,0,nan,nan


Secondary_Aggregates,Secondary_Aggregates_pr,5330,2019,England,47,10,0,0,nan,nan

#Marine_Dredged_Outside_England_Waters,Processing/Production,600,2019,England,48,6,0,1,nan,7-8-9-10-11-12 in data file
Marine_Dredged_Outside_England_Waters,Sand_pr,240,2019,England,48,7,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,Gravel_pr,360,2019,England,48,8,0,0,nan,nan

#Processing/Production,Sand_And_Gravel_td,4745,2019,England,6,30,1,1,7-8-9-10-11-12,42-43-44-45 in data file
Sand_pr,Land_Won_Sand,58.1,2019,England,7,42,0,0,nan,nan
Gravel_pr,Land_Won_Gravel,24.9,2019,England,8,43,0,0,nan,nan
Sand_pr,Marine_Dredged_Sand,3270.4,2019,England,7,44,0,0,nan,nan
Gravel_pr,Marine_Dredged_Gravel,1401.6,2019,England,8,45,0,0,nan,nan

#Processing/Production,Crushed_Rock_td,352,2019,England,6,46,1,0,7-8-9-10-11-12,nan in data file

Demolition,C&D_Waste_pr,34379,2019,England,35,12,0,0,nan,nan


Scalpings_and_Fines_owp,Recycled_Processing/Production_Waste,7380,2019,England,40,11,0,0,nan,nan


Extraction,Sand_And_Gravel_pr,51771,2019,England,1,7,1,1,2-3-4-5-6,7-8
Sand_ex,Sand_pr,16289,2019,England,3,7,0,0,nan,nan
Gravel_ex,Gravel_pr,24434,2019,England,4,8,0,0,nan,nan
Sand_md,Sand_pr,4419,2019,England,5,7,0,0,nan,nan
Gravel_md,Gravel_pr,6629,2019,England,6,8,0,0,nan,nan
Crushed_Rock_ex,Crushed_Rock_pr,85316,2019,England,2,9,0,0,nan,nan

#Processing/Production,Concreting_Sand,19107,2019,England,6,13,1,0,7-8-9-10-11-12,nan in data file
Sand_pr,Concreting_Sand,13566,2019,England,7,13,0,0,nan,nan
Secondary_Aggregates_pr,Concreting_Sand,573,2019,England,10,13,0,0,nan,nan
C&D_Waste_pr,Concreting_Sand,4968,2019,England,12,13,0,0,nan,nan

#Processing/Production,Asphalt_Sand,711,2019,England,6,17,1,0,7-8-9-10-11-12,nan in data file
Sand_pr,Asphalt_Sand,505,2019,England,7,17,0,0,nan,nan
Secondary_Aggregates_pr,Asphalt_Sand,21,2019,England,10,17,0,0,nan,nan
C&D_Waste_pr,Asphalt_Sand,185,2019,England,12,17,0,0,nan,nan

#Processing/Production,Mortar_Sand,5632,2019,England,6,20,1,0,7-8-9-10-11-12,nan in data file
Sand_pr,Mortar_Sand,4000,2019,England,7,20,0,0,nan,nan
Secondary_Aggregates_pr,Mortar_Sand,169,2019,England,10,20,0,0,nan,nan
C&D_Waste_pr,Mortar_Sand,1464,2019,England,12,20,0,0,nan,nan

#Processing/Production,Concreting_Gravel,11565,2019,England,6,14,1,0,7-8-9-10-11-12,nan in data file
C&D_Waste_pr,Concreting_Gravel,3354,2019,England,12,14,0,0,nan,nan
Gravel_pr,Concreting_Gravel,8211,2019,England,8,14,0,0,nan,nan

#Processing/Production,Asphalt_Gravel,236,2019,England,6,18,1,0,7-8-9-10-11-12,nan in data file
C&D_Waste_pr,Asphalt_Gravel,68,2019,England,12,18,0,0,nan,nan
Gravel_pr,Asphalt_Gravel,168,2019,England,8,18,0,0,nan,nan

#Processing/Production,Concreting_Crushed_Rock,11888,2019,England,6,15,1,0,7-8-9-10-11-12,nan in data file
C&D_Waste_pr,Concreting_Crushed_Rock,3448,2019,England,12,15,0,0,nan,nan
Crushed_Rock_pr,Concreting_Crushed_Rock,8440,2019,England,9,15,0,0,nan,nan

#Processing/Production,Asphalt_Crushed_Rock,3771,2019,England,6,19,1,0,7-8-9-10-11-12,nan in data file
C&D_Waste_pr,Asphalt_Crushed_Rock,1094,2019,England,12,19,0,0,nan,nan
Crushed_Rock_pr,Asphalt_Crushed_Rock,2677,2019,England,9,19,0,0,nan,nan

#Land_Won_Sand_And_Gravel,Manufacturing,474,2019,England,31,8,1,1,42-43,13-14-15-16-17-18-19-20 in data file
Land_Won_Sand,Concreting_Sand,149,2019,England,42,13,0,0,nan,nan
Land_Won_Sand,Asphalt_Sand,22,2019,England,42,17,0,0,nan,nan
Land_Won_Sand,Mortar_Sand,19,2019,England,42,20,0,0,nan,nan
Land_Won_Gravel,Concreting_Gravel,247,2019,England,43,14,0,0,nan,nan
Land_Won_Gravel,Asphalt_Gravel,37,2019,England,43,18,0,0,nan,nan

#Marine_Dredged_Sand_And_Gravel,Manufacturing,42,2019,England,32,8,1,1,44-45,13-14-15-16-17-18-19-20 in data file
Marine_Dredged_Sand,Concreting_Sand,13,2019,England,44,13,0,0,nan,nan
Marine_Dredged_Sand,Asphalt_Sand,2,2019,England,44,17,0,0,nan,nan
Marine_Dredged_Sand,Mortar_Sand,2,2019,England,44,20,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_Gravel,22,2019,England,45,14,0,0,nan,nan
Marine_Dredged_Gravel,Concreting_Crushed_Rock,0,2019,England,45,15,0,0,nan,nan
Marine_Dredged_Gravel,Asphalt_Gravel,3,2019,England,45,18,0,0,nan,nan

#Crushed_Rock_td,Manufacturing,7981,2019,England,46,8,0,1,nan,13-14-15-16-17-18-19-20 in data file
Crushed_Rock_td,Concreting_Crushed_Rock,6940,2019,England,46,15,0,0,nan,nan
Crushed_Rock_td,Asphalt_Crushed_Rock,1041,2019,England,46,19,0,0,nan,nan


Demolition,Concreting_C&D,7196,2019,England,35,16,0,0,nan,nan

#Processing/Production,Aggregate_use,29128,2019,England,6,32,1,0,7-8-9-10-11-12,nan in data file
Sand_pr,Aggregate_use,2882,2019,England,7,32,0,0,nan,nan
Gravel_pr,Aggregate_use,4324,2019,England,8,32,0,0,nan,nan
