From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Terrestrial,Sand_And_Gravel_ex,nan,2019,England,0,4,0,1,nan,3-4
Terrestrial,Sand_ex,nan,2019,England,0,3,0,0,nan,nan
Terrestrial,Gravel_ex,nan,2019,England,0,4,0,0,nan,nan


Marine,Marine_Dredged,nan,2019,England,1,5,0,1,nan,5-6
Marine,Sand_md,nan,2019,England,1,5,0,0,nan,nan
Marine,Gravel_md,nan,2019,England,1,6,0,0,nan,nan


Terrestrial,Crushed_Rock_ex,nan,2019,England,0,2,0,0,nan,nan


Secondary_Aggregates,Secondary_Aggregates_pr,nan,2019,England,47,10,0,0,nan,nan


Marine_Dredged_Outside_England_Waters,Processing/Production,600,2019,England,48,6,0,1,nan,7-8-9-10-11-12
Marine_Dredged_Outside_England_Waters,Sand_pr,nan,2019,England,48,7,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,Gravel_pr,nan,2019,England,48,8,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,Crushed_Rock_pr,0,2019,England,48,9,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,Secondary_Aggregates_pr,0,2019,England,48,10,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,RecycledProcessing/Production_Waste,0,2019,England,48,11,0,0,nan,nan
Marine_Dredged_Outside_England_Waters,C&D_Waste_pr,0,2019,England,48,12,0,0,nan,nan


Processing/Production,Sand_And_Gravel_td,83,2019,England,6,30,1,1,7-8-9-10-11-12,42-43-44-45
Sand_pr,Land_Won_Sand,nan,2019,England,7,42,0,0,nan,nan
Gravel_pr,Land_Won_Gravel,nan,2019,England,8,43,0,0,nan,nan
Sand_pr,Marine_Dredged_Sand,nan,2019,England,7,44,0,0,nan,nan
Gravel_pr,Marine_Dredged_Gravel,nan,2019,England,8,45,0,0,nan,nan
Crushed_Rock_pr,Sand_And_Gravel_td,0,2019,England,9,30,0,1,nan,42-43-44-45
Secondary_Aggregates_pr,Sand_And_Gravel_td,0,2019,England,10,30,0,1,nan,42-43-44-45
C&D_Waste_pr,Sand_And_Gravel_td,0,2019,England,12,30,0,1,nan,42-43-44-45
Recycled_Processing/Production_Waste,Sand_And_Gravel_td,0,2019,England,11,30,0,1,nan,42-43-44-45


Processing/Production,Crushed_Rock_td,352,2019,England,6,46,1,0,7-8-9-10-11-12,nan


Demolition,C&D_Waste_pr,nan,2019,England,35,12,0,0,nan,nan


Scalpings_and_Fines_owp,Recycled_Processing/Production_Waste,nan,2019,England,40,11,0,0,nan,nan


Extraction,Sand_And_Gravel_pr,nan,2019,England,1,7,1,1,2-3-4-5-6,7-8
Sand_ex,Sand_pr,nan,2019,England,3,7,0,0,nan,nan
Sand_ex,Gravel_pr,0,2019,England,3,8,0,0,nan,nan
Gravel_ex,Gravel_pr,nan,2019,England,4,8,0,0,nan,nan
Gravel_ex,Sand_pr,0,2019,England,4,7,0,0,nan,nan
Sand_md,Sand_pr,nan,2019,England,5,7,0,0,nan,nan
Sand_md,Gravel_pr,0,2019,England,5,8,0,0,nan,nan
Gravel_md,Gravel_pr,nan,2019,England,6,8,0,0,nan,nan
Gravel_md,Sand_pr,0,2019,England,6,7,0,0,nan,nan
Crushed_Rock_ex,Sand_pr,0,2019,England,2,7,0,0,nan,nan
Crushed_Rock_ex,Gravel_pr,0,2019,England,2,8,0,0,nan,nan
Crushed_Rock_ex,Crushed_Rock_pr,nan,2019,England,2,9,0,0,nan,nan


Processing/Production,Concreting_Sand,19107,2019,England,6,13,1,0,7-8-9-10-11-12,nan
Sand_pr,Concreting_Sand,nan,2019,England,7,13,0,0,nan,nan
Secondary_Aggregates_pr,Concreting_Sand,nan,2019,England,10,13,0,0,nan,nan
C&D_Waste_pr,Concreting_Sand,nan,2019,England,12,13,0,0,nan,nan
Recycled_Processing/Production_Waste,Concreting_Sand,0,2019,England,11,13,0,0,nan,nan
Gravel_pr,Concreting_Sand,0,2019,England,8,13,0,0,nan,nan
Crushed_Rock_pr,Concreting_Sand,0,2019,England,9,13,0,0,nan,nan


Processing/Production,Asphalt_Sand,711,2019,England,6,17,1,0,7-8-9-10-11-12,nan
Sand_pr,Asphalt_Sand,nan,2019,England,7,17,0,0,nan,nan
Secondary_Aggregates_pr,Asphalt_Sand,nan,2019,England,10,17,0,0,nan,nan
C&D_Waste_pr,Asphalt_Sand,nan,2019,England,12,17,0,0,nan,nan
Recycled_Processing/Production_Waste,Asphalt_Sand,0,2019,England,11,17,0,0,nan,nan
Gravel_pr,Asphalt_Sand,0,2019,England,8,17,0,0,nan,nan
Crushed_Rock_pr,Asphalt_Sand,0,2019,England,9,17,0,0,nan,nan


Processing/Production,Mortar_Sand,5632,2019,England,6,20,1,0,7-8-9-10-11-12,nan
Sand_pr,Mortar_Sand,nan,2019,England,7,20,0,0,nan,nan
Secondary_Aggregates_pr,Mortar_Sand,nan,2019,England,10,20,0,0,nan,nan
C&D_Waste_pr,Mortar_Sand,nan,2019,England,12,20,0,0,nan,nan
Recycled_Processing/Production_Waste,Mortar_Sand,0,2019,England,11,20,0,0,nan,nan
