Indexes,flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,prior mean,prior sd
stocks[0],0,0,0,0,0-0-0-0,Gravel_md,2319.37,230.38,1890.24,2749.66,1.47,1.04,24533,14315,1,1000,3162
stocks[1],0,0,0,0,0-0-0-0,Crushed_Rock_ex,-1474.67,861.4,-3071.54,156.75,10.18,7.2,7074,8672,1,1000,3162
stocks[2],0,0,0,0,0-0-0-0,Asphalt_Sand,-3004.97,1187.53,-5265.71,-809.34,13.21,9.34,7891,9973,1,1000,3162
stocks[3],0,0,0,0,0-0-0-0,Concreting_Gravel,-6875.73,3720.1,-13842.55,-75.1,49.36,34.9,5574,9330,1,1000,3162
stocks[4],0,0,0,0,0-0-0-0,Land_Won_Sand,286.25,248.89,-157.17,776.73,1.89,1.44,17408,15417,1,1000,3162
stocks[5],0,0,0,0,0-0-0-0,Aggregate_use,-9453.92,6299.52,-20973.02,2826.16,78.07,55.2,6494,9725,1,36000,72000
stocks[6],0,0,0,0,0-0-0-0,Gravel_for_fill,7728.76,2449.03,3178.84,12340.91,30,21.21,6690,7597,1,8057,16114
stocks[7],0,0,0,0,0-0-0-0,Sand_for_fill,4331.42,2612.54,-667.93,9127.81,58.97,58.72,1766,568,1,5371,10742
stocks[8],0,0,0,0,0-0-0-0,Buildings_Gravel,13366.44,7123.62,785.3,27066,100.02,70.73,5086,9717,1,2530,5060
stocks[9],0,0,0,0,0-0-0-0,Crushed_Rock_td,9698.44,2874.45,4542.64,14943.19,42.17,29.82,3539,591,1,1000,3162
stocks[10],0,0,0,0,0-0-0-0,Asphalt_Gravel,15707.31,4337.24,7631.24,23723.95,49.47,34.98,7334,9241,1,1000,3162
stocks[11],0,0,0,0,0-0-0-0,Asphalt_Crushed_Rock,41635.49,15505.68,13915.72,70507.99,394.28,366.69,2088,602,1,1000,3162
stocks[12],0,0,0,0,0-0-0-0,Recycled_Processing/Production_Waste,31931.03,2979.82,26294.5,37465.61,27.99,19.79,11283,14018,1,1000,3162
stocks[13],0,0,0,0,0-0-0-0,Sand_ex,11211.57,1041.46,9218.12,13140.02,9.71,6.87,11465,13023,1,1000,3162
stocks[14],0,0,0,0,0-0-0-0,Buildings_Sand,2.12,294.21,-546.02,554.97,1.77,2.3,27642,14516,1,1687,3374
stocks[15],0,0,0,0,0-0-0-0,Buildings_Crushed_Rock,18848.42,10464.23,3.53,36370.22,167.61,118.52,3654,5318,1,7885,15770
stocks[16],0,0,0,0,0-0-0-0,Overburden_and_interburden_owp,765.65,379.38,43.88,1463.18,3.86,2.73,9699,15920,1,4500,9000
stocks[17],0,0,0,0,0-0-0-0,Recycled_Deconstruction_Material,1362.11,374.64,692.73,2107.35,2.92,2.07,16452,14836,1,6071,19200
